[0;32m[  6128][I][YASOLR][1][io] Publishing config to MQTT...[0m
Max output: 2289.306396, assigned: 1600.586914, used: 1600.557861
PID(-297.54)=202.84 (pTerm=178.52, iTerm=0.00, dTerm=24.31)
Max output: 2289.306396, assigned: 1304.339478, used: 1304.261841
PID(106.78)=-387.53 (pTerm=-64.07, iTerm=0.00, dTerm=-323.46)
Max output: 2289.306396, assigned: 713.971375, used: 713.905823
PID(234.46)=-242.82 (pTerm=-140.68, iTerm=0.00, dTerm=-102.14)
Max output: 2285.401611, assigned: 902.779785, used: 902.440674
PID(29.97)=145.61 (pTerm=-17.98, iTerm=0.00, dTerm=163.59)
Max output: 2285.401611, assigned: 1291.211548, used: 1290.875244
[0;36m[ 21852][D][YASOLR][1][io] MQTT in 124930 us[0m
PID(-330.33)=486.43 (pTerm=198.20, iTerm=0.00, dTerm=288.24)
Max output: 2285.401611, assigned: 1632.033203, used: 1631.871704
PID(116.37)=-427.18 (pTerm=-69.82, iTerm=0.00, dTerm=-357.36)
Max output: 2289.306396, assigned: 737.224487, used: 736.826843
PID(368.00)=-422.10 (pTerm=-220.80, iTerm=0.00, dTerm=-201.30)
Max output: 2289.306396, assigned: 742.299927, used: 741.858276
PID(-128.19)=473.86 (pTerm=76.91, iTerm=0.00, dTerm=396.95)
Max output: 2289.306396, assigned: 1638.263062, used: 1638.014160
PID(-388.83)=441.81 (pTerm=233.30, iTerm=0.00, dTerm=208.51)
Max output: 2289.306396, assigned: 1606.207275, used: 1606.148315
PID(93.23)=-441.59 (pTerm=-55.94, iTerm=0.00, dTerm=-385.65)
Max output: 2289.306396, assigned: 722.810181, used: 722.291565
PID(398.11)=-482.77 (pTerm=-238.87, iTerm=0.00, dTerm=-243.90)
Max output: 2281.500000, assigned: 744.134644, used: 743.785767
PID(179.66)=66.96 (pTerm=-107.80, iTerm=0.00, dTerm=174.76)
Max output: 2281.500000, assigned: 1293.864502, used: 1293.685791
PID(-369.44)=660.94 (pTerm=221.66, iTerm=0.00, dTerm=439.28)
Max output: 2281.500000, assigned: 1887.837402, used: 1887.599976
PID(175.79)=-541.65 (pTerm=-105.47, iTerm=0.00, dTerm=-436.18)
Max output: 2281.500000, assigned: 685.246521, used: 684.728577
PID(568.18)=-654.82 (pTerm=-340.91, iTerm=0.00, dTerm=-313.91)
Max output: 2287.353760, assigned: 521.182617, used: 521.148010
PID(-123.47)=627.40 (pTerm=74.08, iTerm=0.00, dTerm=553.32)
Max output: 2287.353760, assigned: 1803.403320, used: 1803.071533
PID(-545.70)=665.21 (pTerm=327.42, iTerm=0.00, dTerm=337.78)
Max output: 2287.353760, assigned: 1841.206665, used: 1841.054443
PID(133.41)=-623.33 (pTerm=-80.05, iTerm=0.00, dTerm=-543.29)
Max output: 2281.500000, assigned: 640.865234, used: 640.714294
PID(595.77)=-727.35 (pTerm=-357.46, iTerm=0.00, dTerm=-369.89)
Max output: 2281.500000, assigned: 536.849854, used: 536.528564
[0;36m[ 26902][D][YASOLR][1][io] MQTT in 150470 us[0m
PID(260.77)=111.54 (pTerm=-156.46, iTerm=0.00, dTerm=268.00)
Max output: 2281.500000, assigned: 1375.734985, used: 1375.585815
PID(-481.86)=883.23 (pTerm=289.12, iTerm=0.00, dTerm=594.11)
Max output: 2281.500000, assigned: 2147.425781, used: 2147.228516
PID(21.50)=-415.59 (pTerm=-12.90, iTerm=0.00, dTerm=-402.69)
Max output: 2301.041748, assigned: 639.105469, used: 638.897339
PID(640.73)=-879.82 (pTerm=-384.44, iTerm=0.00, dTerm=-495.38)
Max output: 2301.041748, assigned: 174.878906, used: 174.755554
PID(-161.20)=738.27 (pTerm=96.72, iTerm=0.00, dTerm=641.55)
Max output: 2301.041748, assigned: 1792.969849, used: 1792.508789
PID(-855.35)=1068.53 (pTerm=513.21, iTerm=0.00, dTerm=555.32)
Max output: 2301.041748, assigned: 2123.229736, used: 2122.914795
PID(-369.50)=-166.98 (pTerm=221.70, iTerm=0.00, dTerm=-388.68)
Max output: 2297.126709, assigned: 919.820923, used: 919.411682
PID(628.98)=-1176.17 (pTerm=-377.39, iTerm=0.00, dTerm=-798.78)
Max output: 2297.126709, assigned: 0.000000, used: 0.000000
PID(451.86)=-129.41 (pTerm=-271.11, iTerm=0.00, dTerm=141.70)
Max output: 2297.126709, assigned: 0.000000, used: 0.000000
PID(-495.48)=1055.16 (pTerm=297.29, iTerm=0.00, dTerm=757.87)
Max output: 2297.126709, assigned: 1055.155273, used: 1054.602783
PID(-1091.47)=1131.67 (pTerm=654.88, iTerm=0.00, dTerm=476.79)
Max output: 2326.570557, assigned: 1906.570435, used: 1906.140259
PID(-283.33)=-476.51 (pTerm=170.00, iTerm=0.00, dTerm=-646.51)
Max output: 2326.570557, assigned: 298.393982, used: 298.278290
PID(388.24)=-770.20 (pTerm=-232.94, iTerm=0.00, dTerm=-537.26)
Max output: 2326.570557, assigned: 4.699158, used: 4.545193
PID(-462.29)=957.79 (pTerm=277.37, iTerm=0.00, dTerm=680.42)
Max output: 2326.570557, assigned: 1732.693848, used: 1732.286621
PID(-999.52)=1029.50 (pTerm=599.71, iTerm=0.00, dTerm=429.79)
Max output: 2318.700439, assigned: 1838.597046, used: 1838.539795
PID(-439.59)=-184.18 (pTerm=263.76, iTerm=0.00, dTerm=-447.94)
Max output: 2318.700439, assigned: 624.917175, used: 624.548645
[0;36m[ 31958][D][YASOLR][1][io] MQTT in 167170 us[0m
PID(491.53)=-1039.81 (pTerm=-294.92, iTerm=0.00, dTerm=-744.90)
Max output: 2318.700439, assigned: 0.000000, used: 0.000000
PID(417.10)=-190.72 (pTerm=-250.26, iTerm=0.00, dTerm=59.54)
Max output: 2318.700439, assigned: 0.000000, used: 0.000000
PID(-1073.85)=1837.08 (pTerm=644.31, iTerm=0.00, dTerm=1192.77)
Max output: 2295.170410, assigned: 1837.077881, used: 1836.696777
PID(-991.46)=528.96 (pTerm=594.88, iTerm=0.00, dTerm=-65.91)
Max output: 2295.170410, assigned: 1648.861328, used: 1648.375122
[0;36m[ 33037][D][YASOLR][1][core] Profiler in 208379 us[0m
PID(256.44)=-1152.18 (pTerm=-153.86, iTerm=0.00, dTerm=-998.32)
Max output: 2295.170410, assigned: 0.000000, used: 0.000000
PID(529.80)=-536.57 (pTerm=-317.88, iTerm=0.00, dTerm=-218.69)
Max output: 2308.881592, assigned: 0.000000, used: 0.000000
PID(-259.38)=786.97 (pTerm=155.63, iTerm=0.00, dTerm=631.34)
Max output: 2308.881592, assigned: 786.969360, used: 786.542114
PID(-1132.33)=1377.75 (pTerm=679.40, iTerm=0.00, dTerm=698.36)
Max output: 2308.881592, assigned: 2308.881592, used: 2308.881592
PID(-837.89)=267.19 (pTerm=502.74, iTerm=0.00, dTerm=-235.54)
Max output: 2308.881592, assigned: 1265.692627, used: 1265.233398
PID(-162.42)=-442.92 (pTerm=97.45, iTerm=0.00, dTerm=-540.38)
Max output: 2308.881592, assigned: 555.578247, used: 555.372009
PID(147.54)=-336.50 (pTerm=-88.52, iTerm=0.00, dTerm=-247.97)
Max output: 2314.770264, assigned: 554.502197, used: 553.962097
PID(-430.22)=720.35 (pTerm=258.13, iTerm=0.00, dTerm=462.21)
Max output: 2314.770264, assigned: 1611.346802, used: 1611.012329
PID(-593.28)=486.41 (pTerm=355.97, iTerm=0.00, dTerm=130.44)
Max output: 2314.770264, assigned: 1377.408447, used: 1376.991577
PID(-79.00)=-364.02 (pTerm=47.40, iTerm=0.00, dTerm=-411.42)
Max output: 2314.770264, assigned: 526.984619, used: 526.829285
PID(262.59)=-430.83 (pTerm=-157.55, iTerm=0.00, dTerm=-273.27)
Max output: 2304.959961, assigned: 557.373901, used: 557.243042
PID(-188.99)=474.66 (pTerm=113.39, iTerm=0.00, dTerm=361.26)
Max output: 2304.959961, assigned: 1462.857666, used: 1462.340942
[0;36m[ 36962][D][YASOLR][1][io] MQTT in 109903 us[0m
PID(-608.22)=700.32 (pTerm=364.93, iTerm=0.00, dTerm=335.38)
Max output: 2304.959961, assigned: 1688.515381, used: 1688.052490
PID(170.02)=-724.61 (pTerm=-102.01, iTerm=0.00, dTerm=-622.59)
Max output: 2312.806885, assigned: 241.192383, used: 241.164474
PID(415.24)=-445.32 (pTerm=-249.15, iTerm=0.00, dTerm=-196.18)
Max output: 2312.806885, assigned: 520.479614, used: 520.169739
PID(-377.87)=861.21 (pTerm=226.72, iTerm=0.00, dTerm=634.49)
Max output: 2312.806885, assigned: 1827.005493, used: 1826.524414
PID(-722.64)=709.41 (pTerm=433.59, iTerm=0.00, dTerm=275.82)
Max output: 2312.806885, assigned: 1675.209473, used: 1675.161255
PID(65.56)=-669.91 (pTerm=-39.34, iTerm=0.00, dTerm=-630.57)
Max output: 2301.041748, assigned: 438.394226, used: 438.293671
PID(490.88)=-634.78 (pTerm=-294.53, iTerm=0.00, dTerm=-340.25)
Max output: 2301.041748, assigned: 473.517090, used: 473.132385
PID(-139.79)=588.41 (pTerm=83.88, iTerm=0.00, dTerm=504.54)
Max output: 2301.041748, assigned: 1696.715088, used: 1696.421265
PID(-696.75)=863.62 (pTerm=418.05, iTerm=0.00, dTerm=445.57)
Max output: 2301.041748, assigned: 1971.917480, used: 1971.759644
PID(407.20)=-1127.48 (pTerm=-244.32, iTerm=0.00, dTerm=-883.16)
Max output: 2306.920410, assigned: 0.000000, used: 0.000000
PID(642.62)=-573.91 (pTerm=-385.57, iTerm=0.00, dTerm=-188.34)
Max output: 2306.920410, assigned: 0.000000, used: 0.000000
PID(-521.32)=1243.94 (pTerm=312.79, iTerm=0.00, dTerm=931.15)
Max output: 2306.920410, assigned: 1243.943970, used: 1243.878052
PID(-1130.34)=1165.42 (pTerm=678.20, iTerm=0.00, dTerm=487.21)
Max output: 2306.920410, assigned: 2188.117188, used: 2188.053467
PID(-419.69)=-316.71 (pTerm=251.81, iTerm=0.00, dTerm=-568.52)
Max output: 2322.633789, assigned: 577.191956, used: 576.829956
PID(340.57)=-812.55 (pTerm=-204.34, iTerm=0.00, dTerm=-608.21)
Max output: 2322.633789, assigned: 81.347595, used: 81.107849
[0;36m[ 41957][D][YASOLR][1][io] MQTT in 100536 us[0m
PID(467.50)=-382.03 (pTerm=-280.50, iTerm=0.00, dTerm=-101.54)
Max output: 2322.633789, assigned: 511.865295, used: 511.603333
PID(-612.31)=1231.23 (pTerm=367.39, iTerm=0.00, dTerm=863.84)
Max output: 2322.633789, assigned: 2125.128662, used: 2124.685303
PID(-334.33)=-21.79 (pTerm=200.60, iTerm=0.00, dTerm=-222.38)
Max output: 2316.735107, assigned: 925.613342, used: 925.562561
PID(652.01)=-1180.27 (pTerm=-391.20, iTerm=0.00, dTerm=-789.07)
Max output: 2316.735107, assigned: 0.000000, used: 0.000000
[0;36m[ 43006][D][YASOLR][1][core] Profiler in 207240 us[0m
PID(69.99)=423.62 (pTerm=-41.99, iTerm=0.00, dTerm=465.62)
Max output: 2316.735107, assigned: 423.623169, used: 423.178986
PID(-805.69)=1183.95 (pTerm=483.41, iTerm=0.00, dTerm=700.54)
Max output: 2316.735107, assigned: 2131.353760, used: 2131.169922
PID(-899.41)=614.62 (pTerm=539.64, iTerm=0.00, dTerm=74.97)
Max output: 2314.770264, assigned: 1596.218872, used: 1595.750122
PID(125.73)=-895.54 (pTerm=-75.44, iTerm=0.00, dTerm=-820.11)
Max output: 2314.770264, assigned: 86.058289, used: 85.920654
PID(729.45)=-920.65 (pTerm=-437.67, iTerm=0.00, dTerm=-482.98)
Max output: 2314.770264, assigned: 60.949646, used: 60.483620
PID(88.87)=459.14 (pTerm=-53.32, iTerm=0.00, dTerm=512.46)
Max output: 2314.770264, assigned: 1440.741211, used: 1440.301514
PID(-844.33)=1253.16 (pTerm=506.60, iTerm=0.00, dTerm=746.56)
Max output: 2304.959961, assigned: 2304.959961, used: 2304.959961
PID(134.72)=-864.07 (pTerm=-80.83, iTerm=0.00, dTerm=-783.24)
Max output: 2304.959961, assigned: 242.827576, used: 242.597748
PID(727.57)=-910.82 (pTerm=-436.54, iTerm=0.00, dTerm=-474.28)
Max output: 2304.959961, assigned: 196.083801, used: 195.879379
PID(-236.54)=913.21 (pTerm=141.93, iTerm=0.00, dTerm=771.29)
Max output: 2303.000488, assigned: 1990.314453, used: 1990.309814
PID(-943.84)=1132.15 (pTerm=566.31, iTerm=0.00, dTerm=565.84)
Max output: 2303.000488, assigned: 2209.246338, used: 2209.080811
PID(-441.52)=-136.95 (pTerm=264.91, iTerm=0.00, dTerm=-401.86)
Max output: 2303.000488, assigned: 940.151733, used: 939.759216
